Device/Package xc7a200tfbg676 4/30/2012 11:17:41                                                                                                   
                                                                                                         
Pin   Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
T7    IO_L24N_T3_34                 3                  34    NA            NA                  HR        NA
U4    IO_25_34                      NA                 34    NA            NA                  HR        NA
J8    IO_0_35                       NA                 35    NA            NA                  HR        NA
E6    IO_L1P_T0_AD4P_35             0                  35    NA            NA                  HR        NA
D6    IO_L1N_T0_AD4N_35             0                  35    NA            NA                  HR        NA
H8    IO_L2P_T0_AD12P_35            0                  35    NA            NA                  HR        NA
G8    IO_L2N_T0_AD12N_35            0                  35    NA            NA                  HR        NA
H7    IO_L3P_T0_DQS_AD5P_35         0                  35    NA            NA                  HR        NA
G7    IO_L3N_T0_DQS_AD5N_35         0                  35    NA            NA                  HR        NA
F8    IO_L4P_T0_35                  0                  35    NA            NA                  HR        NA
F7    IO_L4N_T0_35                  0                  35    NA            NA                  HR        NA
H6    IO_L5P_T0_AD13P_35            0                  35    NA            NA                  HR        NA
G6    IO_L5N_T0_AD13N_35            0                  35    NA            NA                  HR        NA
H9    IO_L6P_T0_35                  0                  35    NA            NA                  HR        NA
G9    IO_L6N_T0_VREF_35             0                  35    NA            NA                  HR        NA
J6    IO_L7P_T1_AD6P_35             1                  35    NA            NA                  HR        NA
J5    IO_L7N_T1_AD6N_35             1                  35    NA            NA                  HR        NA
L8    IO_L8P_T1_AD14P_35            1                  35    NA            NA                  HR        NA
K8    IO_L8N_T1_AD14N_35            1                  35    NA            NA                  HR        NA
J4    IO_L9P_T1_DQS_AD7P_35         1                  35    NA            NA                  HR        NA
H4    IO_L9N_T1_DQS_AD7N_35         1                  35    NA            NA                  HR        NA
K7    IO_L10P_T1_AD15P_35           1                  35    NA            NA                  HR        NA
K6    IO_L10N_T1_AD15N_35           1                  35    NA            NA                  HR        NA
G4    IO_L11P_T1_SRCC_35            1                  35    NA            NA                  HR        NA
F4    IO_L11N_T1_SRCC_35            1                  35    NA            NA                  HR        NA
G5    IO_L12P_T1_MRCC_35            1                  35    NA            NA                  HR        NA
F5    IO_L12N_T1_MRCC_35            1                  35    NA            NA                  HR        NA
E5    IO_L13P_T2_MRCC_35            2                  35    NA            NA                  HR        NA
D5    IO_L13N_T2_MRCC_35            2                  35    NA            NA                  HR        NA
D4    IO_L14P_T2_SRCC_35            2                  35    NA            NA                  HR        NA
C4    IO_L14N_T2_SRCC_35            2                  35    NA            NA                  HR        NA
B5    IO_L15P_T2_DQS_35             2                  35    NA            NA                  HR        NA
A5    IO_L15N_T2_DQS_35             2                  35    NA            NA                  HR        NA
B4    IO_L16P_T2_35                 2                  35    NA            NA                  HR        NA
A4    IO_L16N_T2_35                 2                  35    NA            NA                  HR        NA
D3    IO_L17P_T2_35                 2                  35    NA            NA                  HR        NA
C3    IO_L17N_T2_35                 2                  35    NA            NA                  HR        NA
F3    IO_L18P_T2_35                 2                  35    NA            NA                  HR        NA
E3    IO_L18N_T2_35                 2                  35    NA            NA                  HR        NA
C2    IO_L19P_T3_35                 3                  35    NA            NA                  HR        NA
B2    IO_L19N_T3_VREF_35            3                  35    NA            NA                  HR        NA
A3    IO_L20P_T3_35                 3                  35    NA            NA                  HR        NA
A2    IO_L20N_T3_35                 3                  35    NA            NA                  HR        NA
C1    IO_L21P_T3_DQS_35             3                  35    NA            NA                  HR        NA
B1    IO_L21N_T3_DQS_35             3                  35    NA            NA                  HR        NA
F2    IO_L22P_T3_35                 3                  35    NA            NA                  HR        NA
E2    IO_L22N_T3_35                 3                  35    NA            NA                  HR        NA
E1    IO_L23P_T3_35                 3                  35    NA            NA                  HR        NA
D1    IO_L23N_T3_35                 3                  35    NA            NA                  HR        NA
G2    IO_L24P_T3_35                 3                  35    NA            NA                  HR        NA
G1    IO_L24N_T3_35                 3                  35    NA            NA                  HR        NA
H3    IO_25_35                      NA                 35    NA            NA                  HR        NA
AE7   MGTPTXP3_213                  NA                 213   NA            NA                  GTP       NA
AE11  MGTPRXP3_213                  NA                 213   NA            NA                  GTP       NA
AF7   MGTPTXN3_213                  NA                 213   NA            NA                  GTP       NA
AF11  MGTPRXN3_213                  NA                 213   NA            NA                  GTP       NA
AC8   MGTPTXP2_213                  NA                 213   NA            NA                  GTP       NA
AC14  MGTPRXP2_213                  NA                 213   NA            NA                  GTP       NA
AD8   MGTPTXN2_213                  NA                 213   NA            NA                  GTP       NA
AD14  MGTPRXN2_213                  NA                 213   NA            NA                  GTP       NA
AB13  MGTREFCLK0N_213               NA                 213   NA            NA                  GTP       NA
AA13  MGTREFCLK0P_213               NA                 213   NA            NA                  GTP       NA
AF15  MGTRREF_213                   NA                 213   NA            NA                  GTP       NA
AA11  MGTREFCLK1P_213               NA                 213   NA            NA                  GTP       NA
AB11  MGTREFCLK1N_213               NA                 213   NA            NA                  GTP       NA
AE9   MGTPTXP1_213                  NA                 213   NA            NA                  GTP       NA
AE13  MGTPRXP1_213                  NA                 213   NA            NA                  GTP       NA
AF9   MGTPTXN1_213                  NA                 213   NA            NA                  GTP       NA
AF13  MGTPRXN1_213                  NA                 213   NA            NA                  GTP       NA
AC10  MGTPTXP0_213                  NA                 213   NA            NA                  GTP       NA
AC12  MGTPRXP0_213                  NA                 213   NA            NA                  GTP       NA
AD10  MGTPTXN0_213                  NA                 213   NA            NA                  GTP       NA
AD12  MGTPRXN0_213                  NA                 213   NA            NA                  GTP       NA
D10   MGTPTXP3_216                  NA                 216   NA            NA                  GTP       NA
D12   MGTPRXP3_216                  NA                 216   NA            NA                  GTP       NA
C10   MGTPTXN3_216                  NA                 216   NA            NA                  GTP       NA
C12   MGTPRXN3_216                  NA                 216   NA            NA                  GTP       NA
B9    MGTPTXP2_216                  NA                 216   NA            NA                  GTP       NA
B13   MGTPRXP2_216                  NA                 216   NA            NA                  GTP       NA
A9    MGTPTXN2_216                  NA                 216   NA            NA                  GTP       NA
A13   MGTPRXN2_216                  NA                 216   NA            NA                  GTP       NA
E11   MGTREFCLK0N_216               NA                 216   NA            NA                  GTP       NA
F11   MGTREFCLK0P_216               NA                 216   NA            NA                  GTP       NA
A15   MGTRREF_216                   NA                 216   NA            NA                  GTP       NA
F13   MGTREFCLK1P_216               NA                 216   NA            NA                  GTP       NA
E13   MGTREFCLK1N_216               NA                 216   NA            NA                  GTP       NA
D8    MGTPTXP1_216                  NA                 216   NA            NA                  GTP       NA
D14   MGTPRXP1_216                  NA                 216   NA            NA                  GTP       NA
C8    MGTPTXN1_216                  NA                 216   NA            NA                  GTP       NA
C14   MGTPRXN1_216                  NA                 216   NA            NA                  GTP       NA
B7    MGTPTXP0_216                  NA                 216   NA            NA                  GTP       NA
B11   MGTPRXP0_216                  NA                 216   NA            NA                  GTP       NA
A7    MGTPTXN0_216                  NA                 216   NA            NA                  GTP       NA
A11   MGTPRXN0_216                  NA                 216   NA            NA                  GTP       NA
F12   MGTAVCC_G11                   NA                 NA    NA            NA                  NA        NA
F10   MGTAVCC_G11                   NA                 NA    NA            NA                  NA        NA
D9    MGTAVCC_G11                   NA                 NA    NA            NA                  NA        NA
D13   MGTAVCC_G11                   NA                 NA    NA            NA                  NA        NA
D11   MGTAVCC_G11                   NA                 NA    NA            NA                  NA        NA
AC9   MGTAVCC_G10                   NA                 NA    NA            NA                  NA        NA
AC13  MGTAVCC_G10                   NA                 NA    NA            NA                  NA        NA
AC11  MGTAVCC_G10                   NA                 NA    NA            NA                  NA        NA
AA10  MGTAVCC_G10                   NA                 NA    NA            NA                  NA        NA
AA12  MGTAVCC_G10                   NA                 NA    NA            NA                  NA        NA
C7    MGTAVTT_G11                   NA                 NA    NA            NA                  NA        NA
C15   MGTAVTT_G11                   NA                 NA    NA            NA                  NA        NA
B8    MGTAVTT_G11                   NA                 NA    NA            NA                  NA        NA
B14   MGTAVTT_G11                   NA                 NA    NA            NA                  NA        NA
B12   MGTAVTT_G11                   NA                 NA    NA            NA                  NA        NA
B10   MGTAVTT_G11                   NA                 NA    NA            NA                  NA        NA
AD7   MGTAVTT_G10                   NA                 NA    NA            NA                  NA        NA
AD15  MGTAVTT_G10                   NA                 NA    NA            NA                  NA        NA
AE8   MGTAVTT_G10                   NA                 NA    NA            NA                  NA        NA
AE14  MGTAVTT_G10                   NA                 NA    NA            NA                  NA        NA
AE12  MGTAVTT_G10                   NA                 NA    NA            NA                  NA        NA
AE10  MGTAVTT_G10                   NA                 NA    NA            NA                  NA        NA
W22   GND                           NA                 NA    NA            NA                  NA        NA
W12   GND                           NA                 NA    NA            NA                  NA        NA
Y19   GND                           NA                 NA    NA            NA                  NA        NA
Y13   GND                           NA                 NA    NA            NA                  NA        NA
Y12   GND                           NA                 NA    NA            NA                  NA        NA
Y11   GND                           NA                 NA    NA            NA                  NA        NA
Y10   GND                           NA                 NA    NA            NA                  NA        NA
V13   GND                           NA                 NA    NA            NA                  NA        NA
W2    GND                           NA                 NA    NA            NA                  NA        NA
V25   GND                           NA                 NA    NA            NA                  NA        NA
V15   GND                           NA                 NA    NA            NA                  NA        NA
T21   GND                           NA                 NA    NA            NA                  NA        NA
P17   GND                           NA                 NA    NA            NA                  NA        NA
T13   GND                           NA                 NA    NA            NA                  NA        NA
U18   GND                           NA                 NA    NA            NA                  NA        NA
U12   GND                           NA                 NA    NA            NA                  NA        NA
U10   GND                           NA                 NA    NA            NA                  NA        NA
U8    GND                           NA                 NA    NA            NA                  NA        NA
R24   GND                           NA                 NA    NA            NA                  NA        NA
T9    GND                           NA                 NA    NA            NA                  NA        NA
T1    GND                           NA                 NA    NA            NA                  NA        NA
P13   GND                           NA                 NA    NA            NA                  NA        NA
P9    GND                           NA                 NA    NA            NA                  NA        NA
R10   GND                           NA                 NA    NA            NA                  NA        NA
R4    GND                           NA                 NA    NA            NA                  NA        NA
N10   GND                           NA                 NA    NA            NA                  NA        NA
M23   GND                           NA                 NA    NA            NA                  NA        NA
F1    GND                           NA                 NA    NA            NA                  NA        NA
N20   GND                           NA                 NA    NA            NA                  NA        NA
M13   GND                           NA                 NA    NA            NA                  NA        NA
L10   GND                           NA                 NA    NA            NA                  NA        NA
L6    GND                           NA                 NA    NA            NA                  NA        NA
M9    GND                           NA                 NA    NA            NA                  NA        NA
M3    GND                           NA                 NA    NA            NA                  NA        NA
L26   GND                           NA                 NA    NA            NA                  NA        NA
L16   GND                           NA                 NA    NA            NA                  NA        NA
L12   GND                           NA                 NA    NA            NA                  NA        NA
K9    GND                           NA                 NA    NA            NA                  NA        NA
J22   GND                           NA                 NA    NA            NA                  NA        NA
K13   GND                           NA                 NA    NA            NA                  NA        NA
K11   GND                           NA                 NA    NA            NA                  NA        NA
G18   GND                           NA                 NA    NA            NA                  NA        NA
G13   GND                           NA                 NA    NA            NA                  NA        NA
J12   GND                           NA                 NA    NA            NA                  NA        NA
J2    GND                           NA                 NA    NA            NA                  NA        NA
H25   GND                           NA                 NA    NA            NA                  NA        NA
H5    GND                           NA                 NA    NA            NA                  NA        NA
G10   GND                           NA                 NA    NA            NA                  NA        NA
G12   GND                           NA                 NA    NA            NA                  NA        NA
G11   GND                           NA                 NA    NA            NA                  NA        NA
E15   GND                           NA                 NA    NA            NA                  NA        NA
E14   GND                           NA                 NA    NA            NA                  NA        NA
E12   GND                           NA                 NA    NA            NA                  NA        NA
E10   GND                           NA                 NA    NA            NA                  NA        NA
F21   GND                           NA                 NA    NA            NA                  NA        NA
F14   GND                           NA                 NA    NA            NA                  NA        NA
F9    GND                           NA                 NA    NA            NA                  NA        NA
E24   GND                           NA                 NA    NA            NA                  NA        NA
E9    GND                           NA                 NA    NA            NA                  NA        NA
E4    GND                           NA                 NA    NA            NA                  NA        NA
E8    GND                           NA                 NA    NA            NA                  NA        NA
E7    GND                           NA                 NA    NA            NA                  NA        NA
V5    GND                           NA                 NA    NA            NA                  NA        NA
D17   GND                           NA                 NA    NA            NA                  NA        NA
D15   GND                           NA                 NA    NA            NA                  NA        NA
D7    GND                           NA                 NA    NA            NA                  NA        NA
C20   GND                           NA                 NA    NA            NA                  NA        NA
T11   GND                           NA                 NA    NA            NA                  NA        NA
C16   GND                           NA                 NA    NA            NA                  NA        NA
C11   GND                           NA                 NA    NA            NA                  NA        NA
C13   GND                           NA                 NA    NA            NA                  NA        NA
C6    GND                           NA                 NA    NA            NA                  NA        NA
C9    GND                           NA                 NA    NA            NA                  NA        NA
B23   GND                           NA                 NA    NA            NA                  NA        NA
B3    GND                           NA                 NA    NA            NA                  NA        NA
B16   GND                           NA                 NA    NA            NA                  NA        NA
B15   GND                           NA                 NA    NA            NA                  NA        NA
B6    GND                           NA                 NA    NA            NA                  NA        NA
AF10  GND                           NA                 NA    NA            NA                  NA        NA
AF21  GND                           NA                 NA    NA            NA                  NA        NA
AF16  GND                           NA                 NA    NA            NA                  NA        NA
AF14  GND                           NA                 NA    NA            NA                  NA        NA
AF12  GND                           NA                 NA    NA            NA                  NA        NA
AF1   GND                           NA                 NA    NA            NA                  NA        NA
AE24  GND                           NA                 NA    NA            NA                  NA        NA
AF8   GND                           NA                 NA    NA            NA                  NA        NA
AF6   GND                           NA                 NA    NA            NA                  NA        NA
AE15  GND                           NA                 NA    NA            NA                  NA        NA
AE6   GND                           NA                 NA    NA            NA                  NA        NA
AD13  GND                           NA                 NA    NA            NA                  NA        NA
AD11  GND                           NA                 NA    NA            NA                  NA        NA
AE4   GND                           NA                 NA    NA            NA                  NA        NA
AD16  GND                           NA                 NA    NA            NA                  NA        NA
AC20  GND                           NA                 NA    NA            NA                  NA        NA
AD9   GND                           NA                 NA    NA            NA                  NA        NA
AD6   GND                           NA                 NA    NA            NA                  NA        NA
AC15  GND                           NA                 NA    NA            NA                  NA        NA
AB12  GND                           NA                 NA    NA            NA                  NA        NA
AC7   GND                           NA                 NA    NA            NA                  NA        NA
AB23  GND                           NA                 NA    NA            NA                  NA        NA
AB14  GND                           NA                 NA    NA            NA                  NA        NA
AB3   GND                           NA                 NA    NA            NA                  NA        NA
AB10  GND                           NA                 NA    NA            NA                  NA        NA
AB9   GND                           NA                 NA    NA            NA                  NA        NA
AB8   GND                           NA                 NA    NA            NA                  NA        NA
AA9   GND                           NA                 NA    NA            NA                  NA        NA
A14   GND                           NA                 NA    NA            NA                  NA        NA
AA16  GND                           NA                 NA    NA            NA                  NA        NA
AA14  GND                           NA                 NA    NA            NA                  NA        NA
A26   GND                           NA                 NA    NA            NA                  NA        NA
AA6   GND                           NA                 NA    NA            NA                  NA        NA
A16   GND                           NA                 NA    NA            NA                  NA        NA
A12   GND                           NA                 NA    NA            NA                  NA        NA
A10   GND                           NA                 NA    NA            NA                  NA        NA
A8    GND                           NA                 NA    NA            NA                  NA        NA
A6    GND                           NA                 NA    NA            NA                  NA        NA
AA26  GND                           NA                 NA    NA            NA                  NA        NA
P7    GND                           NA                 NA    NA            NA                  NA        NA
K19   GND                           NA                 NA    NA            NA                  NA        NA
V12   VCCINT                        NA                 NA    NA            NA                  NA        NA
V10   VCCINT                        NA                 NA    NA            NA                  NA        NA
U11   VCCINT                        NA                 NA    NA            NA                  NA        NA
T12   VCCINT                        NA                 NA    NA            NA                  NA        NA
T10   VCCINT                        NA                 NA    NA            NA                  NA        NA
P10   VCCINT                        NA                 NA    NA            NA                  NA        NA
M10   VCCINT                        NA                 NA    NA            NA                  NA        NA
L13   VCCINT                        NA                 NA    NA            NA                  NA        NA
L11   VCCINT                        NA                 NA    NA            NA                  NA        NA
K12   VCCINT                        NA                 NA    NA            NA                  NA        NA
K10   VCCINT                        NA                 NA    NA            NA                  NA        NA
J13   VCCINT                        NA                 NA    NA            NA                  NA        NA
J11   VCCINT                        NA                 NA    NA            NA                  NA        NA
R9    VCCAUX                        NA                 NA    NA            NA                  NA        NA
N9    VCCAUX                        NA                 NA    NA            NA                  NA        NA
L9    VCCAUX                        NA                 NA    NA            NA                  NA        NA
J9    VCCAUX                        NA                 NA    NA            NA                  NA        NA
U9    VCCAUX                        NA                 NA    NA            NA                  NA        NA
W11   VCCO_0                        NA                 0     NA            NA                  NA        NA
Y14   VCCO_0                        NA                 0     NA            NA                  NA        NA
W17   VCCO_12                       NA                 12    NA            NA                  NA        NA
AF26  VCCO_12                       NA                 12    NA            NA                  NA        NA
AE19  VCCO_12                       NA                 12    NA            NA                  NA        NA
AD22  VCCO_12                       NA                 12    NA            NA                  NA        NA
AB18  VCCO_12                       NA                 12    NA            NA                  NA        NA
AA21  VCCO_12                       NA                 12    NA            NA                  NA        NA
Y24   VCCO_13                       NA                 13    NA            NA                  NA        NA
V20   VCCO_13                       NA                 13    NA            NA                  NA        NA
U23   VCCO_13                       NA                 13    NA            NA                  NA        NA
T26   VCCO_13                       NA                 13    NA            NA                  NA        NA
T16   VCCO_13                       NA                 13    NA            NA                  NA        NA
AC25  VCCO_13                       NA                 13    NA            NA                  NA        NA
R19   VCCO_14                       NA                 14    NA            NA                  NA        NA
P22   VCCO_14                       NA                 14    NA            NA                  NA        NA
N25   VCCO_14                       NA                 14    NA            NA                  NA        NA
N15   VCCO_14                       NA                 14    NA            NA                  NA        NA
L21   VCCO_14                       NA                 14    NA            NA                  NA        NA
K24   VCCO_14                       NA                 14    NA            NA                  NA        NA
M18   VCCO_15                       NA                 15    NA            NA                  NA        NA
K14   VCCO_15                       NA                 15    NA            NA                  NA        NA
J17   VCCO_15                       NA                 15    NA            NA                  NA        NA
H20   VCCO_15                       NA                 15    NA            NA                  NA        NA
G23   VCCO_15                       NA                 15    NA            NA                  NA        NA
F26   VCCO_15                       NA                 15    NA            NA                  NA        NA
F16   VCCO_16                       NA                 16    NA            NA                  NA        NA
E19   VCCO_16                       NA                 16    NA            NA                  NA        NA
D22   VCCO_16                       NA                 16    NA            NA                  NA        NA
C25   VCCO_16                       NA                 16    NA            NA                  NA        NA
B18   VCCO_16                       NA                 16    NA            NA                  NA        NA
A21   VCCO_16                       NA                 16    NA            NA                  NA        NA
Y4    VCCO_33                       NA                 33    NA            NA                  NA        NA
W7    VCCO_33                       NA                 33    NA            NA                  NA        NA
U3    VCCO_33                       NA                 33    NA            NA                  NA        NA
AD2   VCCO_33                       NA                 33    NA            NA                  NA        NA
AC5   VCCO_33                       NA                 33    NA            NA                  NA        NA
AA1   VCCO_33                       NA                 33    NA            NA                  NA        NA
T6    VCCO_34                       NA                 34    NA            NA                  NA        NA
P2    VCCO_34                       NA                 34    NA            NA                  NA        NA
N5    VCCO_34                       NA                 34    NA            NA                  NA        NA
M8    VCCO_34                       NA                 34    NA            NA                  NA        NA
L1    VCCO_34                       NA                 34    NA            NA                  NA        NA
K4    VCCO_34                       NA                 34    NA            NA                  NA        NA
J7    VCCO_35                       NA                 35    NA            NA                  NA        NA
G3    VCCO_35                       NA                 35    NA            NA                  NA        NA
F6    VCCO_35                       NA                 35    NA            NA                  NA        NA
D2    VCCO_35                       NA                 35    NA            NA                  NA        NA
C5    VCCO_35                       NA                 35    NA            NA                  NA        NA
A1    VCCO_35                       NA                 35    NA            NA                  NA        NA
W13   VCCBRAM                       NA                 NA    NA            NA                  NA        NA
U13   VCCBRAM                       NA                 NA    NA            NA                  NA        NA
R13   VCCBRAM                       NA                 NA    NA            NA                  NA        NA
N13   VCCBRAM                       NA                 NA    NA            NA                  NA        NA
                                                                                                         
Total Number of Pins, 676                                                  
