  1269046,  3653270
  2617804,  2846834
  3534295,  1570723
  3867319,    35442
  3562455, -1505722
  2669595, -2798445
  1336146, -3629586
  -217405, -3861535
 -1735583, -3456369
 -2967185, -2481069
 -3709125, -1096549
 -3839259,   469142
 -3335553,  1957669
 -2281546,  3122822
  -851430,  3772652
   719300,  3800024
  2171407,  3200172
  3265116,  2072436
  3820172,   602969
  3744439,  -966759
  3051111, -2376635
  1854291, -3393901
   351454, -3851700
 -1209460, -3673782
 -2571191, -2889571
 -3508050, -1628633
 -3866370,   -99063
 -3586719,  1447052
 -2715159,  2754219
 -1395909,  3606780
   153868,  3864408
  1678186,  3484277
  2925675,  2529179
  3690290,  1156623
  3846020,  -406569
  3367039, -1902812
  2332188, -3085214
   912676, -3758416
  -657600, -3811553
 -2119253, -3235620
 -3231183, -2125951
 -3810152,  -665239
 -3760362,   905253
 -3090131,  2325850
 -1909890,  3363068
  -414573,  3845183
  1149147,  3692712
  2523022,  2931106
  3480678,  1685539
  3864118,   162145
  3609561, -1388391
  2759909, -2709597
  1454737, -3583563
   -91158, -3866709
 -1621689, -3511260
 -2884252, -2577037
 -3671120, -1217395
 -3852391,   343572
 -3397789,  1847286
 -2382644,  3046310
  -974503,  3742522
   594703,  3821374
  2065635,  3269587
  3195627,  2178138
  3798403,   727334
  3774200,  -843641
  3127618, -2275204
  1964609, -3331447
   477018, -3838237
 -1088692, -3711559
 -2475055, -2972247
 -3453069, -1742808
 -3861084,  -225678
 -3632330,  1328636
 -2804161,  2663533
 -1513164,  3559214
    27521,  3867214
  1563605,  3537234
  2841506,  2623538
  3650510,  1276807
  3857270,  -280460
  3427417, -1791853
  2431973, -3007362
  1035443, -3726534
  -532242, -3830871
 -2012085, -3303247
 -3159726, -2230497
 -3786185,  -789574
 -3787843,   781512
 -3164566,  2223705
 -2019004,  3298674
  -540244,  3829473
  1027536,  3728194
  2425828,  3011951
  3423648,  1798742
  3856530,   288341
  3653166, -1269250
  2846903, -2617792
  1570608, -3534324
    35366, -3867594
 -1505462, -3562697
 -2798235, -2669951
 -3629443, -1336717
 -3861678,   217314
 -3456535,  1735165
 -2481160,  2966670
 -1096418,  3708595
   469340,  3838830
  1957458,  3335524
  3122597,  2281487
  3772495,   851329
  3799789,  -719621
  3200082, -2171909
  2072538, -3265383
   602817, -3820483
  -966805, -3745120
 -2376516, -3051594
 -3394035, -1854927
 -3851678,  -351674
 -3673606,  1209288
 -2889580,  2570390
 -1628622,  3507702
   -98834,  3866077
  1446969,  3586545
  2754211,  2714833
  3606912,  1395150
  3864303,  -154546
  3484321, -1678669
  2529108, -2926067
  1156495, -3690755
  -406927, -3846109
 -1902840, -3367138
 -3084919, -2332608
 -3758467,  -913203
 -3811399,   657142
 -3235709,  2118805
 -2126023,  3230588
  -665288,  3809918
   905244,  3760202
  2326097,  3089960
  3363027,  1909814
  3845253,   414565
  3692742, -1149120
  2931053, -2523452
  1685566, -3481010
   162169, -3864476
 -1388120, -3610026
 -2709620, -2759951
 -3583911, -1454557
 -3866718,    90941
 -3511732,  1620984
 -2577052,  2883973
 -1217091,  3670989
   343194,  3852084
  1847444,  3397439
  3046253,  2382536
  3742611,   974302
  3821496,  -595236
  3269544, -2065860
  2178321, -3195924
   727162, -3798819
  -843472, -3774666
 -2275357, -3127586
 -3331784, -1964543
 -3838043,  -477550
 -3711387,  1088504
 -2972158,  2474787
 -1742655,  3452638
  -225561,  3860804
  1328778,  3631956
  2663679,  2803707
  3559266,  1512805
  3867268,   -27861
  3537071, -1563926
  2623575, -2841447
  1276853, -3650534
  -280711, -3857290
 -1791485, -3427562
 -3006999, -2432554
